id,address,incident_date,city,zipcode,battalion,station_area,action_taken_primary,property_use,ignition_cause,neighborhood_district,point
30025580,9th St. / Natoma St.,2003-01-09 0:00:00,SF,94103,B02,36,64 - Shut down system,"960 - Street, other",,South of Market,POINT (-122.413722 37.775437)
30025600,1169 Market St.,2003-01-09 0:00:00,SF,94104,B02,1,86 - Investigate,599 - Business office,,South of Market,POINT (-122.41381954 37.77869199)
30025650,675 Larch St.,2003-01-09 0:00:00,SF,94102,B02,5,86 - Investigate,429 - Multifamily dwellings,,Western Addition,POINT (-122.428491 37.781379)
30027890,405 Serrano Dr.,2003-01-09 0:00:00,SF,94132,B08,19,86 - Investigate,429 - Multifamily dwellings,,Lakeshore,POINT (-122.481573 37.718991)
30027950,2695 Greenwich St.,2003-01-09 0:00:00,SF,94123,B04,16,64 - Shut down system,429 - Multifamily dwellings,,Marina,POINT (-122.44383615 37.79775946)
30025740,3427 Ortega St.,2003-01-09 0:00:00,SF,94122,B08,23,86 - Investigate,419 - 1 or 2 family dwelling,,Sunset/Parkside,POINT (-122.50043259 37.75106443)
30025760,445 Powell St.,2003-01-09 0:00:00,SF,94133,B01,1,82 - Notify other agencies.,599 - Business office,,Nob Hill,POINT (-122.40881688 37.78885843)
30025810,2650 Green St.,2003-01-09 0:00:00,SF,94123,B04,16,86 - Investigate,419 - 1 or 2 family dwelling,,Marina,POINT (-122.44286341 37.79548514)
30025870,1215 Carolina St.,2003-01-09 0:00:00,SF,94107,B10,37,86 - Investigate,"213 - Elem. school, inc. kindergarten",,Potrero Hill,POINT (-122.399403 37.753323)
30033360,9th Av. / Anza St.,2003-01-11 0:00:00,SF,94121,B07,31,64 - Shut down system,429 - Multifamily dwellings,,Inner Richmond,POINT (-122.467355 37.778944)
30033390,671 7th Av.,2003-01-11 0:00:00,SF,94121,B07,31,86 - Investigate,419 - 1 or 2 family dwelling,,Inner Richmond,POINT (-122.465068 37.775878)
30031000,Skyline Bl. / Sloat Bl.,2003-01-11 0:00:00,SF,94121,B08,19,"10 - Fire, other","962 - Residential street, road or residential dr",,Sunset/Parkside,POINT (-122.496634 37.733769)
30031070,334 Leavenworth St.,2003-01-11 0:00:00,SF,94109,B02,3,86 - Investigate,"962 - Residential street, road or residential dr",,Tenderloin,POINT (-122.41408016 37.7842582)
30031100,925 Leavenworth St.,2003-01-11 0:00:00,SF,94109,B01,41,86 - Investigate,"449 - Hotel/motel, commercial",,Nob Hill,POINT (-122.41580666 37.78969071)
